Percentile,Year,avg_private_wealth (p99p100),avg_private_wealth (p90p100),avg_private_wealth (p50p90),avg_private_wealth (p0p50),avg_private_wealth (p0p100)
p90p100,1990,14720980.00,3597809.50,665805.81,116988.09,2048447.13
p90p100,1991,14720980.00,3597809.50,665805.81,116988.09,568290.63
p90p100,1992,14720980.00,3597809.50,665805.81,116988.09,589885.63
p90p100,1993,14720980.00,3597809.50,665805.81,116988.09,630599.31
p90p100,1994,14720980.00,3597809.50,665805.81,116988.09,625245.50
p90p100,1995,14720980.00,3597809.50,665805.81,116988.09,1059098.00
p90p100,1996,18676480.00,4338127.50,745982.81,130221.28,1202816.63
p90p100,1997,27902322.00,5275072.00,737337.88,126300.43,1261917.00
p90p100,1998,32907780.00,5745094.50,713025.31,121814.37,1209794.50
p90p100,1999,38114192.00,6074899.50,650958.75,112366.83,1201942.38
p90p100,2000,36830056.00,6077491.50,684167.19,117362.34,1224838.13
p90p100,2001,45117936.00,7021330.00,721795.88,122339.06,1474606.00
p90p100,2002,47975960.00,8017678.00,919618.44,154552.39,1788890.50
p90p100,2003,60320600.00,9417286.00,972953.81,161571.86,1975031.13
p90p100,2004,66439984.00,10335739.00,1057464.50,171064.05,2113679.50
p90p100,2005,67159776.00,10910091.00,1185749.38,189979.88,2270990.25
p90p100,2006,77838056.00,13531429.00,1604170.88,249884.22,2900601.50
p90p100,2007,94850496.00,16843670.00,2008515.25,299884.75,3547755.00
p90p100,2008,104557864.00,17668912.00,1902677.63,262628.19,3511010.00
p90p100,2009,82636944.00,16367319.00,2083560.13,265768.22,3428621.00
p90p100,2010,88319360.00,17002518.00,1966225.00,179735.92,3294314.50
p90p100,2011,84657224.00,16072793.00,1662884.00,160937.45,2967856.25
p90p100,2012,85385312.00,16354352.00,1709128.38,176792.33,3018085.50
p90p100,2013,89658104.00,17155146.00,1789993.50,193453.27,3141120.50
p90p100,2014,95299848.00,17684686.00,1786622.88,198096.81,3186981.50
p90p100,2015,107165624.00,17949634.00,1584702.00,175708.27,3089320.00