Percentile,Year,avg_private_wealth
p90p100,1990,3597809.5
p90p100,1991,3597809.5
p90p100,1992,3597809.5
p90p100,1993,3597809.5
p90p100,1994,3597809.5
p90p100,1995,3597809.5
p90p100,1996,4338127.5
p90p100,1997,5275072
p90p100,1998,5745094.5
p90p100,1999,6074899.5
p90p100,2000,6077491.5
p90p100,2001,7021330
p90p100,2002,8017678
p90p100,2003,9417286
p90p100,2004,10335739
p90p100,2005,10910091
p90p100,2006,13531429
p90p100,2007,16843670
p90p100,2008,17668912
p90p100,2009,16367319
p90p100,2010,17002518
p90p100,2011,16072793
p90p100,2012,16354352
p90p100,2013,17155146
p90p100,2014,17684686
p90p100,2015,17949634
p50p90,1990,665805.8125
p50p90,1991,665805.8125
p50p90,1992,665805.8125
p50p90,1993,665805.8125
p50p90,1994,665805.8125
p50p90,1995,665805.8125
p50p90,1996,745982.8125
p50p90,1997,737337.875
p50p90,1998,713025.3125
p50p90,1999,650958.75
p50p90,2000,684167.1875
p50p90,2001,721795.875
p50p90,2002,919618.4375
p50p90,2003,972953.8125
p50p90,2004,1057464.5
p50p90,2005,1185749.375
p50p90,2006,1604170.875
p50p90,2007,2008515.25
p50p90,2008,1902677.625
p50p90,2009,2083560.125
p50p90,2010,1966225
p50p90,2011,1662884
p50p90,2012,1709128.375
p50p90,2013,1789993.5
p50p90,2014,1786622.875
p50p90,2015,1584702
p0p50,1990,116988.0859
p0p50,1991,116988.0859
p0p50,1992,116988.0859
p0p50,1993,116988.0859
p0p50,1994,116988.0859
p0p50,1995,116988.0859
p0p50,1996,130221.2813
p0p50,1997,126300.4297
p0p50,1998,121814.3672
p0p50,1999,112366.8281
p0p50,2000,117362.3359
p0p50,2001,122339.0625
p0p50,2002,154552.3906
p0p50,2003,161571.8594
p0p50,2004,171064.0469
p0p50,2005,189979.875
p0p50,2006,249884.2188
p0p50,2007,299884.75
p0p50,2008,262628.1875
p0p50,2009,265768.2188
p0p50,2010,179735.9219
p0p50,2011,160937.4531
p0p50,2012,176792.3281
p0p50,2013,193453.2656
p0p50,2014,198096.8125
p0p50,2015,175708.2656
p99p100,1990,14720980
p99p100,1991,14720980
p99p100,1992,14720980
p99p100,1993,14720980
p99p100,1994,14720980
p99p100,1995,14720980
p99p100,1996,18676480
p99p100,1997,27902322
p99p100,1998,32907780
p99p100,1999,38114192
p99p100,2000,36830056
p99p100,2001,45117936
p99p100,2002,47975960
p99p100,2003,60320600
p99p100,2004,66439984
p99p100,2005,67159776
p99p100,2006,77838056
p99p100,2007,94850496
p99p100,2008,104557864
p99p100,2009,82636944
p99p100,2010,88319360
p99p100,2011,84657224
p99p100,2012,85385312
p99p100,2013,89658104
p99p100,2014,95299848
p99p100,2015,107165624
p0p100,1990,2048447.125
p0p100,1991,568290.625
p0p100,1992,589885.625
p0p100,1993,630599.3125
p0p100,1994,625245.5
p0p100,1995,1059098
p0p100,1996,1202816.625
p0p100,1997,1261917
p0p100,1998,1209794.5
p0p100,1999,1201942.375
p0p100,2000,1224838.125
p0p100,2001,1474606
p0p100,2002,1788890.5
p0p100,2003,1975031.125
p0p100,2004,2113679.5
p0p100,2005,2270990.25
p0p100,2006,2900601.5
p0p100,2007,3547755
p0p100,2008,3511010
p0p100,2009,3428621
p0p100,2010,3294314.5
p0p100,2011,2967856.25
p0p100,2012,3018085.5
p0p100,2013,3141120.5
p0p100,2014,3186981.5
p0p100,2015,3089320