Percentaile,Year,avg_pre_tax_income
p99p100,1961,1321924.625
p99p100,1962,1321924.625
p99p100,1963,1321924.625
p99p100,1964,1443913.125
p99p100,1965,1443913.125
p99p100,1966,1494066.125
p99p100,1967,1494066.125
p99p100,1968,1552168.125
p99p100,1969,1552168.125
p99p100,1970,1552168.125
p99p100,1971,1552168.125
p99p100,1972,1826170.125
p99p100,1973,1826170.125
p99p100,1974,1826170.125
p99p100,1975,1826170.125
p99p100,1976,2005218.5
p99p100,1977,2005218.5
p99p100,1978,2005218.5
p99p100,1979,2005218.5
p99p100,1980,1922317.625
p99p100,1981,1922317.625
p99p100,1982,1922317.625
p99p100,1983,1922317.625
p99p100,1984,1922317.625
p99p100,1985,2544593.25
p99p100,1986,2544593.25
p99p100,1987,2544593.25
p99p100,1988,2851231.25
p99p100,1989,3217667.25
p99p100,1990,4254626.5
p99p100,1991,5102846
p99p100,1992,4954196.5
p99p100,1993,4858771
p99p100,1994,4243668.5
p99p100,1995,4255307.5
p99p100,1996,5330569.5
p99p100,1997,5213438
p99p100,1998,4842991
p99p100,1999,6503192.5
p99p100,2000,8350209.5
p99p100,2001,10560879
p99p100,2002,11025533
p99p100,2003,11533635
p99p100,2004,11872195
p99p100,2005,13794420
p99p100,2006,15240266
p99p100,2007,17575458
p99p100,2008,17026752
p99p100,2009,13005891
p99p100,2010,12838098
p99p100,2011,14799926
p99p100,2012,14095702
p99p100,2013,14914096
p99p100,2014,14504552
p99p100,2015,13870410
p0p50,1961,153374.7813
p0p50,1962,153374.7813
p0p50,1963,153374.7813
p0p50,1964,183262.3594
p0p50,1965,183262.3594
p0p50,1966,214784.9063
p0p50,1967,214784.9063
p0p50,1968,257142.4063
p0p50,1969,257142.4063
p0p50,1970,257142.4063
p0p50,1971,257142.4063
p0p50,1972,280312.6875
p0p50,1973,280312.6875
p0p50,1974,280312.6875
p0p50,1975,280312.6875
p0p50,1976,320204.3438
p0p50,1977,320204.3438
p0p50,1978,320204.3438
p0p50,1979,320204.3438
p0p50,1980,345181.6563
p0p50,1981,345181.6563
p0p50,1982,345181.6563
p0p50,1983,345181.6563
p0p50,1984,345181.6563
p0p50,1985,358466.5
p0p50,1986,358466.5
p0p50,1987,358466.5
p0p50,1988,366959
p0p50,1989,359199.3125
p0p50,1990,341860.8438
p0p50,1991,352696.7188
p0p50,1992,214474.6094
p0p50,1993,175490.7969
p0p50,1994,109703.3828
p0p50,1995,83868.45313
p0p50,1996,64632.72266
p0p50,1997,85290.53125
p0p50,1998,92116.35938
p0p50,1999,100904.1406
p0p50,2000,109492.8984
p0p50,2001,115705.7188
p0p50,2002,124584.6328
p0p50,2003,128198.9609
p0p50,2004,146092.9531
p0p50,2005,159766.2813
p0p50,2006,167551.0938
p0p50,2007,179105.0313
p0p50,2008,182712.7344
p0p50,2009,178193.7188
p0p50,2010,203353.3438
p0p50,2011,220218.9219
p0p50,2012,236176.9375
p0p50,2013,228192.5156
p0p50,2014,239135.75
p0p50,2015,232903.6875
p50p90,1961,356730.9063
p50p90,1962,356730.9063
p50p90,1963,356730.9063
p50p90,1964,403162.1875
p50p90,1965,403162.1875
p50p90,1966,438706.4688
p50p90,1967,438706.4688
p50p90,1968,484777.25
p50p90,1969,484777.25
p50p90,1970,484777.25
p50p90,1971,484777.25
p50p90,1972,554151.5625
p50p90,1973,554151.5625
p50p90,1974,554151.5625
p50p90,1975,554151.5625
p50p90,1976,633764.4375
p50p90,1977,633764.4375
p50p90,1978,633764.4375
p50p90,1979,633764.4375
p50p90,1980,667673.125
p50p90,1981,667673.125
p50p90,1982,667673.125
p50p90,1983,667673.125
p50p90,1984,667673.125
p50p90,1985,678399.3125
p50p90,1986,678399.3125
p50p90,1987,678399.3125
p50p90,1988,691495.5
p50p90,1989,687562.875
p50p90,1990,680752.5
p50p90,1991,704962.8125
p50p90,1992,560841.875
p50p90,1993,497267.7188
p50p90,1994,395741.9688
p50p90,1995,331422.5
p50p90,1996,354014.7813
p50p90,1997,363598.9063
p50p90,1998,338708
p50p90,1999,359467.7813
p50p90,2000,385865.2813
p50p90,2001,397905.3125
p50p90,2002,430186.7813
p50p90,2003,455203.4688
p50p90,2004,492358.7188
p50p90,2005,528349.5625
p50p90,2006,551203.375
p50p90,2007,608732.25
p50p90,2008,584049.5
p50p90,2009,550357.4375
p50p90,2010,597493.375
p50p90,2011,619337.5
p50p90,2012,672065.9375
p50p90,2013,647568.25
p50p90,2014,667124.8125
p50p90,2015,642438.8125
p90p100,1961,756903.9375
p90p100,1962,756903.9375
p90p100,1963,756903.9375
p90p100,1964,826726.875
p90p100,1965,826726.875
p90p100,1966,855447.9375
p90p100,1967,855447.9375
p90p100,1968,888733.8125
p90p100,1969,888733.8125
p90p100,1970,888733.8125
p90p100,1971,888733.8125
p90p100,1972,1015682.125
p90p100,1973,1015682.125
p90p100,1974,1015682.125
p90p100,1975,1015682.125
p90p100,1976,1143758.5
p90p100,1977,1143758.5
p90p100,1978,1143758.5
p90p100,1979,1143758.5
p90p100,1980,1170266.75
p90p100,1981,1170266.75
p90p100,1982,1170266.75
p90p100,1983,1170266.75
p90p100,1984,1170266.75
p90p100,1985,1298450.625
p90p100,1986,1298450.625
p90p100,1987,1298450.625
p90p100,1988,1326384.625
p90p100,1989,1414037.125
p90p100,1990,1367609.25
p90p100,1991,1497598.125
p90p100,1992,1586913.75
p90p100,1993,1495724.125
p90p100,1994,1455591.25
p90p100,1995,1287106.75
p90p100,1996,1626247.25
p90p100,1997,1549641.625
p90p100,1998,1383142.25
p90p100,1999,1651459.25
p90p100,2000,1944960.75
p90p100,2001,2129470.5
p90p100,2002,2158339.5
p90p100,2003,2288879.75
p90p100,2004,2516708.75
p90p100,2005,2624542
p90p100,2006,2951859
p90p100,2007,3200557.25
p90p100,2008,3540333.75
p90p100,2009,3049577.5
p90p100,2010,3002325.75
p90p100,2011,3312304.75
p90p100,2012,3234685
p90p100,2013,3344982
p90p100,2014,3248327.75
p90p100,2015,3119866
p0p100,1961,295070.125
p0p100,1962,312310.3125
p0p100,1963,318720.9375
p0p100,1964,335568.75
p0p100,1965,346440.2188
p0p100,1966,368419.8438
p0p100,1967,390208.5625
p0p100,1968,411355.5
p0p100,1969,420147.5313
p0p100,1970,451477.2188
p0p100,1971,460942.2813
p0p100,1972,463385.1563
p0p100,1973,492099.125
p0p100,1974,503872.3125
p0p100,1975,518053.0938
p0p100,1976,527983.8125
p0p100,1977,537685.4375
p0p100,1978,541714.25
p0p100,1979,538982.4375
p0p100,1980,556686.75
p0p100,1981,560470.3125
p0p100,1982,565597.1875
p0p100,1983,573716.5625
p0p100,1984,573867.625
p0p100,1985,580438
p0p100,1986,587977.375
p0p100,1987,578473.75
p0p100,1988,592716.125
p0p100,1989,596028.5
p0p100,1990,579992.375
p0p100,1991,608093.25
p0p100,1992,490265.4375
p0p100,1993,436224.9063
p0p100,1994,358707.5938
p0p100,1995,303213.9063
p0p100,1996,336547
p0p100,1997,343049
p0p100,1998,319855.5938
p0p100,1999,359385.125
p0p100,2000,403588.625
p0p100,2001,429962.0313
p0p100,2002,450200.9688
p0p100,2003,475068.875
p0p100,2004,521660.8125
p0p100,2005,553677.1875
p0p100,2006,599442.8125
p0p100,2007,653101.125
p0p100,2008,679009.5625
p0p100,2009,614197.5625
p0p100,2010,640906.625
p0p100,2011,689074.9375
p0p100,2012,710383.3125
p0p100,2013,707621.75
p0p100,2014,711250.5625
p0p100,2015,685413.9375