Percentile,Year,%_private_wealth_over_gdp
p99p100,1995,0.215031222
p99p100,1996,0.234241724
p99p100,1997,0.315069526
p99p100,1998,0.35744977
p99p100,1999,0.412465841
p99p100,2000,0.391768605
p99p100,2001,0.428869188
p99p100,2002,0.384764552
p99p100,2003,0.427291721
p99p100,2004,0.430843264
p99p100,2005,0.40450418
p99p100,2006,0.367203325
p99p100,2007,0.359593362
p99p100,2008,0.393181652
p99p100,2009,0.317463189
p99p100,2010,0.342773527
p99p100,2011,0.359799266
p99p100,2012,0.354666352
p99p100,2013,0.354626745
p99p100,2014,0.369069368
p99p100,2015,0.425818324
p90p100,1995,0.525536597
p90p100,1996,0.544090986
p90p100,1997,0.595654488
p90p100,1998,0.624041677
p90p100,1999,0.657416225
p90p100,2000,0.646474838
p90p100,2001,0.667413592
p90p100,2002,0.643013358
p90p100,2003,0.667090178
p90p100,2004,0.670241535
p90p100,2005,0.657116115
p90p100,2006,0.638349235
p90p100,2007,0.638570368
p90p100,2008,0.664425552
p90p100,2009,0.628777087
p90p100,2010,0.659879446
p90p100,2011,0.683105171
p90p100,2012,0.679313362
p90p100,2013,0.678541422
p90p100,2014,0.684877932
p90p100,2015,0.71322155
p50p90,1995,0.389020413
p50p90,1996,0.374246776
p50p90,1997,0.333037078
p50p90,1998,0.309799939
p50p90,1999,0.281782985
p50p90,2000,0.291104853
p50p90,2001,0.27444166
p50p90,2002,0.29501155
p50p90,2003,0.275683671
p50p90,2004,0.274293542
p50p90,2005,0.285671324
p50p90,2006,0.302708954
p50p90,2007,0.304584056
p50p90,2008,0.286194801
p50p90,2009,0.320173353
p50p90,2010,0.305242181
p50p90,2011,0.282695025
p50p90,2012,0.283969343
p50p90,2013,0.283200085
p50p90,2014,0.276763439
p50p90,2015,0.251869977
p0p50,1995,0.08544299
p0p50,1996,0.08166223
p0p50,1997,0.07130843
p0p50,1998,0.06615839
p0p50,1999,0.06080082
p0p50,2000,0.06242032
p0p50,2001,0.05814479
p0p50,2002,0.06197508
p0p50,2003,0.05722615
p0p50,2004,0.05546494
p0p50,2005,0.05721255
p0p50,2006,0.05894182
p0p50,2007,0.05684555
p0p50,2008,0.04937964
p0p50,2009,0.05104958
p0p50,2010,0.03487838
p0p50,2011,0.03419978
p0p50,2012,0.03671726
p0p50,2013,0.03825851
p0p50,2014,0.03835865
p0p50,2015,0.03490849