Year,net_private_wealth_over_net_national_income
1990,1.237573624
1991,1.028871894
1992,0.937828124
1993,1.233889341
1994,1.52887845
1995,2.25780344
1996,2.369108915
1997,2.581533909
1998,2.878257513
1999,2.571216345
2000,2.329345226
2001,2.446776152
2002,2.769632816
2003,2.971560717
2004,2.956119537
2005,2.998676777
2006,3.536206007
2007,4.03875494
2008,3.916404724
2009,4.238115311
2010,4.020257473
2011,3.414580107
2012,3.388991356
2013,3.572867394
2014,3.630459547
2015,3.671793461